game,Black's method rank,Condorcet rank,Borda rank,Count of listings,QID,record ID
Tetris,1,1,1,30,Q71910,recXIjcDJGWtPxsYo
The Legend of Zelda: Ocarina of Time,2,2,2,25,Q213911,recL5pkwLOvBedc4F
The Legend of Zelda: A Link to the Past,3,3,11,22,Q370055,recHGBufAbRJM3mR8
Doom (1993),4,4,3,24,Q189784,recVC9XQ22Rzm6OrV
Half-Life 2,5,5,12,22,Q193581,recDTV7uPDbinjZot
Super Mario 64,6,6,7,23,Q216995,reccr8QVPuXHt8jqF
Super Mario World,7,7,13,20,Q853143,recmCp8PtJkK95AFj
World of Warcraft,8,8,10,23,Q131007,reccIuj2qErNSJh7v
Super Mario Kart,9,9,4,24,Q1061560,rec2QMhUjZOvNH6eb
Final Fantasy 7,10,9,6,24,Q214232,recJc2gxijjQo5Ppu
Street Fighter 2,11,10,16,19,Q1133204,reccCTpDxN0YPDa9n
Resident Evil 4,12,11,8,23,Q275950,recOCgmltDS8R4o4B
GoldenEye 007,13,11,9,23,Q369086,recjcMdIbTYj900Nv
Super Metroid,14,12,5,24,Q1194825,recF02Pim6023M1MD
Halo: Combat Evolved,15,12,14,20,Q276217,recNjXcEkog9XUWqt
Red Dead Redemption,16,12,20,19,Q548203,rectJ9EoDSrqVrP0G
BioShock,17,13,15,20,Q57270,rec6yVj8kqKnQpllb
Metal Gear Solid,18,13,17,19,Q6582527,recW5huqNtSS29c82
Castlevania: Symphony of the Night,19,13,19,19,Q2007022,recKdTD4IuJRuFbA0
Super Mario Bros. 3,20,13,34,15,Q639619,recViqihkQLjZhehC
Chrono Trigger,21,14,18,19,Q761815,recx8OIJanZwEqf4E
StarCraft,22,14,25,17,Q165929,reckZbsNJuTYyQUVR
Portal 2,23,14,28,17,Q279446,reclPz0WxNr9ACf4y
The Last of Us,24,14,30,16,Q1986744,rec8yGRF9hRA1jjL1
Deus Ex,25,15,22,19,Q644793,recUfKBMxKFzhv1vX
Mass Effect 2,26,16,23,18,Q725057,recoFJrbiWQqjQg73
Diablo 2,27,16,27,17,Q244033,recRgorHzTYfKXxnl
Minecraft,28,16,35,15,Q49740,recVDkV7x0Wxjuklb
Half-Life,29,16,41,14,Q279744,recoy3m2eLhZrrb0a
The Elder Scrolls 5: Skyrim,30,16,43,14,Q323862,rec7l0k1oeGJvI5Ia
Portal,31,16,45,13,Q274897,reczvyQ5ZIVfvwNGv
Call of Duty 4: Modern Warfare,32,17,31,16,Q76255,recb2GrOM41QalV0S
Super Mario Bros.,33,17,42,14,Q11168,recbVhJO71ZoCO0uQ
Metal Gear Solid 3: Snake Eater,34,17,47,13,Q247935,recNNqNEctHAuPifd
Shadow of the Colossus,35,18,26,17,Q846051,rec11ZPrGSK9whJrm
SimCity 2000,36,18,37,15,Q1767176,recoTao5vfcnfCk85
Uncharted 2: Among Thieves,37,19,24,18,Q17146,recdBdzmmiaFsVUTa
Metroid Prime,38,20,21,19,Q1765733,recNXkmYvoSL80c0Y
Tomb Raider (1996),39,20,29,17,Q317620,recAmSADP73Oo6KrG
Sonic the Hedgehog,40,21,33,16,Q37123,recJ5gxYZM02MC6UO
Donkey Kong,41,21,36,16,Q12384,recMQefFFALgnFt2z
Star Wars: Knights of the Old Republic,42,21,38,15,Q725902,reckN1pEyQUxg4MkA
Counter-Strike,43,21,44,14,Q163628,reccZz6hkX8d6Gwg0
Grand Theft Auto 3,44,21,46,13,Q149106,reczHTmMAuhfC0kPi
Final Fantasy 6,45,21,54,12,Q535940,recvdfLYno7qNPYlD
Silent Hill 2,46,22,32,16,Q752835,recBbmZUhxmlm9N5J
Fallout 3,47,23,48,13,Q221164,rec4L23idye7izmoJ
The Sims,48,23,49,13,Q184816,recjcvI7Df9QlLobb
Pac-Man,49,23,50,13,Q173626,recPcxOPblUoCNvhu
Ico,50,23,52,13,Q1324448,recJW0HuC3TZxVKAN
Resident Evil (1996),51,23,56,12,Q1248594,recrZKhBsSKSwogvJ
NBA Jam,52,23,57,12,Q1959943,recHe7pU223D8s016
Punch-Out!!,53,23,58,12,Q2705496,rec62foRQmFZrdHkk
Ms. Pac-Man,54,23,62,11,Q2141683,recST9UThhdnevAkp
Grim Fandango,55,24,39,15,Q592507,rec4lqCgawzIaYM6J
X-COM UFO Defense,56,24,40,16,Q61731716,recLIYgkQj2vMuPG7
